combo	min_reads	merge_window	effect_frac	expr_frac	retained	identical	within10	n_genes	mean_five	mean_three
72	10	160	0.1	0.01	0.9746967071057192	0.7928520625889047	0.8620199146514936	5834	171.23723003085362	155.7170037709976
73	20	160	0.1	0.01	0.9679376083188909	0.9163831692032229	0.9444941808415398	5595	156.89490616621984	153.8182305630027
74	40	160	0.1	0.01	0.8980935875216638	0.719027402547279	0.8253570050173679	5187	138.0133024869867	149.08945440524388
75	80	160	0.1	0.01	0.7554592720970538	0.5604496444138564	0.7345721495755907	4362	116.55731315910133	141.70541036221917
76	5	10	0.2	0.01	0.7123050259965338	0.3564476885644769	0.5520681265206813	4453	165.83898495396363	145.99865259375701
77	10	10	0.2	0.01	0.6842287694974003	0.3898176291793313	0.5848530901722391	4134	155.2261731978713	145.10232220609578
78	20	10	0.2	0.01	0.6239168110918544	0.48444444444444446	0.6644444444444444	3604	141.4159267480577	145.93118756936738
79	40	10	0.2	0.01	0.5076256499133449	0.400136565380676	0.6142027995903039	2932	130.39904502046386	145.26944065484312
80	80	10	0.2	0.01	0.3655112651646447	0.36036036036036034	0.586533902323376	2111	114.923259118901	142.9962103268593
81	5	20	0.2	0.01	0.764471403812825	0.37315801405576965	0.5737927907503967	4757	164.68929997897834	146.0496110994324
82	10	20	0.2	0.01	0.7409012131715771	0.4046783625730994	0.6056140350877193	4462	154.24966382787989	144.86844464365754
83	20	20	0.2	0.01	0.6842287694974003	0.5005065856129686	0.6841438703140831	3951	140.58972412047584	145.23867375348013
84	40	20	0.2	0.01	0.5590987868284228	0.4097954122752635	0.6258524488530688	3228	128.25805452292443	145.20848822800497
85	80	20	0.2	0.01	0.4027729636048527	0.367039586919105	0.5946643717728055	2325	113.12258064516129	142.6916129032258
86	5	40	0.2	0.01	0.823050259965338	0.4064013476521373	0.6049694672562644	5103	164.58651773466588	147.41093474426808
87	10	40	0.2	0.01	0.8055459272097054	0.4361015490533563	0.6331755593803786	4842	154.6629491945477	145.635687732342
88	20	40	0.2	0.01	0.7590987868284229	0.5280821917808219	0.7054794520547946	4380	140.0595890410959	145.26164383561644
89	40	40	0.2	0.01	0.6320623916811092	0.42665204277488344	0.6386070743076501	3647	127.22511653413764	144.17329311763092
90	80	40	0.2	0.01	0.4611785095320624	0.3742953776775648	0.6024051108605787	2661	113.02480270574972	141.1052236001503
91	5	80	0.2	0.01	0.8993067590987869	0.47022547697051453	0.6567739448834072	5537	164.00397327072423	149.32671121545962
92	10	80	0.2	0.01	0.8863084922010399	0.49882675009777083	0.6838091513492374	5305	154.0271442035815	147.64090480678604
93	20	80	0.2	0.01	0.848526863084922	0.5896650326797386	0.7536764705882353	4897	140.04370022462732	146.97855830100062
94	40	80	0.2	0.01	0.7377816291161179	0.47404275311252053	0.6765327695560254	4257	125.8733850129199	144.05919661733614
95	80	80	0.2	0.01	0.5549393414211439	0.40630855715178016	0.6355402873204248	3202	110.17676452217364	141.07214241099314
96	5	160	0.2	0.01	0.9415944540727903	0.616602245536536	0.7566721884778207	5767	168.39431246748742	151.78047511704526
97	10	160	0.2	0.01	0.9337954939341421	0.6523756495916853	0.7858203414996288	5572	159.3140703517588	150.01525484565687
98	20	160	0.2	0.01	0.9166377816291161	0.7479674796747967	0.8517678200037815	5291	145.54394254394253	148.48119448119448
99	40	160	0.2	0.01	0.8374350086655112	0.6012003311258278	0.7588990066225165	4833	128.63831988412994	144.56859093730603
100	80	160	0.2	0.01	0.6847487001733102	0.49025563148569984	0.6932422171602126	3952	110.62044534412955	138.54832995951418
101	5	10	0.35	0.01	0.18232235701906413	0.3659695817490494	0.5085551330798479	1231	220.47441104792853	174.50203086921204
102	10	10	0.35	0.01	0.168630849220104	0.4193216855087359	0.5601233299075026	1051	218.70599429115128	176.64985727878212
103	20	10	0.35	0.01	0.1464471403812825	0.5526627218934911	0.6792899408284023	845	208.5207100591716	186.0828402366864
104	40	10	0.35	0.01	0.11993067590987869	0.4523121387283237	0.6127167630057804	692	193.3771676300578	182.09248554913296
105	80	10	0.35	0.01	0.08665511265164645	0.396	0.576	500	169.054	173.484
106	5	20	0.35	0.01	0.20433275563258232	0.364715860899067	0.5165394402035624	1370	214.85839416058394	169.814598540146
107	10	20	0.35	0.01	0.18769497400346621	0.41920590951061865	0.5650969529085873	1168	211.37842465753425	172.56078767123287
108	20	20	0.35	0.01	0.1655112651646447	0.5528795811518324	0.6816753926701571	955	199.67748691099476	177.11832460732984
