technology	gene_old	gene_new	n_reads	pct_of_reads	into_orf_body
short read	YGL259W	YGL258W-A	119	0.000397	True
short read	YHR132W-A	YHR133C	118	0.000393	False
short read	YMR283C	YMR282C	117	0.00039	False
short read	YER154W	YER155C	116	0.000387	False
short read	YLR172C	YLR168C	115	0.000383	False
short read	YIL121W	YIL120W	110	0.000367	False
short read	YOR228C	YOR227W	107	0.000357	False
short read	YGL005C	YGL006W	105	0.00035	False
short read	YNR015W	YNR016C	103	0.000343	False
short read	YMR304C-A	YMR304W	101	0.000337	False
short read	YLR030W	YLR031W	101	0.000337	True
short read	YOL073C	YOL075C	100	0.000333	False
short read	YDR441C	YDR442W	98	0.000327	False
short read	YPR080W	YPR081C	92	0.000307	False
short read	YJL041W	YJL039C	89	0.000297	False
short read	YNL042W	YNL041C	87	0.00029	False
short read	YEL019C	YEL020C	87	0.00029	True
short read	YLR166C	YLR165C	87	0.00029	False
short read	YFL048C	YFL047W	85	0.000283	False
short read	YBR204C	YBR203W	82	0.000273	False
short read	YOR239W	YOR241W	82	0.000273	False
short read	YMR117C	YMR116C	81	0.00027	False
short read	YPL120W	YPL119C	80	0.000267	False
short read	YHR032W-A	YHR033W	79	0.000263	True
short read	YMR075W	YMR076C	79	0.000263	False
short read	YBL036C	YBL037W	78	0.00026	False
short read	YER052C	YER051W	77	0.000257	False
short read	YNL011C	YNL012W	76	0.000253	False
short read	YGL063W	YGL064C	73	0.000243	False
short read	YNL172W	YNL170W	70	0.000233	True
short read	YFR044C	YFR043C	68	0.000227	False
short read	YJR139C	YJR140W-A	68	0.000227	False
short read	YHR034C	YHR033W	68	0.000227	False
short read	YFL004W	YFL003C	65	0.000217	False
short read	YMR063W	YMR064W	64	0.000213	True
short read	YDL221W	YDL222C	63	0.00021	False
short read	YIL100C-A	YIL101C	63	0.00021	True
short read	YPR145C-A	YPR146C	61	0.000203	True
short read	YER130C	YER129W	61	0.000203	False
short read	YCR006C	YCR005C	61	0.000203	True
short read	YDR286C	YDR285W	60	0.0002	False
short read	YGL198W	YGL197W	59	0.000197	False
short read	YFL029C	YFL030W	59	0.000197	False
short read	YPR190C	YPR189W	58	0.000193	False
short read	YER175W-A	YER174C	58	0.000193	False
short read	YDR494W	YDR495C	58	0.000193	False
short read	YDR410C	YDR409W	57	0.00019	False
short read	YKL036C	YKL038W	56	0.000187	False
short read	YDL217C	YDL218W	56	0.000187	False
short read	YAL031C	YAL032C	55	0.000183	False
short read	YOR308C	YOR307C	55	0.000183	True
short read	YOR008W-B	YOR009W	53	0.000177	True
short read	YCR083W	YCR084C	53	0.000177	False
short read	YGL019W	YGL020C	52	0.000173	False
short read	YJR053W	YJR054W	51	0.00017	True
short read	YOR295W	YOR296W	50	0.000167	True
short read	YOL117W	YOL116W	48	0.00016	True
short read	YKR030W	YKR031C	46	0.000153	False
short read	YDL248W	YDL247W-A	46	0.000153	False
